20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: tohit: 100.00 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: TOHIT: 100 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: maxhit: Doom Of The Living-231,060 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: MAXHIT: 231,060 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: healed: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: healed%: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: enchps: 0.00 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: ENCHPS: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: ENCHPS-k: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: ENCHPS-m: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: critheals: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: critheal%: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: heals: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: cures: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: maxheal:  (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: MAXHEAL:  (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: maxhealward:  (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: MAXHEALWARD:  (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: damagetaken: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: healstaken: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: powerdrain: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: powerheal: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: kills: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: deaths: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: threatstr: +(0)0/-(0)0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: threatdelta: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: NAME3: Lim (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: NAME4: Limi (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: NAME5: Limit (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: NAME6: Limit (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:38: Info: Mini Parse: BrowserConsole: NAME7: Limit B (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME8: Limit Br (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME9: Limit Bre (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME10: Limit Brea (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME11: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME12: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME13: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME14: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: NAME15: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: Last10DPS: --- (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: Last30DPS: --- (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: Last60DPS: --- (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: Job:  (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: ParryPct: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: BlockPct: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: IncToHit: --- (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: OverHealPct: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: DirectHitPct: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: DirectHitCount: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: CritDirectHitCount: 0 (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: CritDirectHitPct: 0% (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
20/08/2017 10:55:39: Info: Mini Parse: BrowserConsole: JobOrName: Limit Break (string) (Source: file:///E:/Program%20Files%20(x86)/Advanced%20Combat%20Tracker/Overlay/resources/ffxiv-miniparse/miniparse.js, Line: 225)
